pair_id,Cue,Cue1_perimeter,Cue1_Edges,Cue1_Surrounding_rectangular_area,Cue2,Cue2_perimeter,Cue2_Edges,Cue2_Area,Cue2_Surrounding_rectangular_area,Answer,Type,Shuffle,Cue1_Area,Notes
1,Images/D10.JPG,16,8,16,Images/D1.JPG,14,4,12,12,LEFT,Instructions,#no,13,
13,Images/F1.JPG,14,8,12,Images/F10.JPG,18,10,9,12,RIGHT,Instructions,#no,9,
16,Images/D1.F13.JPG,24,10,32,Images/D10.D25.JPG,24,12,23,28,EQUAL,Instructions,#no,27,
1101,Images/D1.JPG,14,4,12,Images/F6.JPG,14,8,7,12,EQUAL,verification,#no,12,
1102,Images/D10.JPG,16,8,16,Images/F13.JPG,18,10,15,20,RIGHT,verification,#no,13,
1103,Images/D16.JPG,16,8,12,Images/F1.JPG,14,8,9,12,LEFT,verification,#no,11,
1104,Images/F13.JPG,18,10,20,Images/F6.JPG,14,8,7,12,LEFT,verification,#no,15,
11001,Images/F6.JPG,14,8,12,Images/F1.JPG,14,8,9,12,EQUAL,basic,basic,7,
11003,Images/D21.JPG,18,8,12,Images/D1.JPG,14,4,12,12,LEFT,basic,basic,10,
11004,Images/D25.JPG,16,8,12,Images/F1.JPG,14,8,9,12,LEFT,basic,basic,10,
11005,Images/D14.JPG,16,8,16,Images/D25.JPG,16,8,10,12,EQUAL,basic,basic,14,
11007,Images/F10.JPG,18,10,12,Images/F13.JPG,18,10,15,20,EQUAL,basic,basic,9,
11008,Images/F13.JPG,18,10,20,Images/F10.JPG,18,10,9,12,EQUAL,basic,basic,15,
11011,Images/D14.JPG,16,8,16,Images/F21.JPG,20,10,13,16,RIGHT,basic,basic,14,
11012,Images/D16.JPG,16,8,12,Images/F6.JPG,14,8,7,12,LEFT,basic,basic,11,
11013,Images/D21.JPG,18,8,12,Images/D14.JPG,16,8,14,16,LEFT,basic,basic,10,
11015,Images/F1.JPG,14,8,12,Images/F6.JPG,14,8,7,12,EQUAL,basic,basic,9,
11017,Images/F10.JPG,18,10,12,Images/F13.JPG,18,10,15,20,EQUAL,basic,basic,9,
11021,Images/D10.JPG,16,8,16,Images/F17.JPG,20,10,13,16,RIGHT,basic,basic,13,
11022,Images/D14.JPG,16,8,16,Images/F1.JPG,14,8,9,12,LEFT,basic,basic,14,
11023,Images/F10.JPG,18,10,12,Images/D16.JPG,16,8,11,12,LEFT,basic,basic,9,
11024,Images/D21.JPG,18,8,12,Images/F21.JPG,20,10,13,16,RIGHT,basic,basic,10,
11026,Images/F1.JPG,14,8,12,Images/D16.JPG,16,8,11,12,EQUAL,basic,basic,9,
11027,Images/D16.JPG,16,8,12,Images/D14.JPG,16,8,14,16,EQUAL,basic,basic,11,
11030,Images/F17.JPG,20,10,16,Images/D16.JPG,16,8,11,12,LEFT,basic,basic,13,
11032,Images/D1.JPG,14,4,12,Images/F1.JPG,14,8,9,12,EQUAL,basic,basic,12,
11033,Images/D10.JPG,16,8,16,Images/D1.JPG,14,4,12,12,LEFT,basic,basic,13,
11034,Images/D14.JPG,16,8,16,Images/D1.JPG,14,4,12,12,LEFT,basic,basic,14,
11036,Images/D21.JPG,18,8,12,Images/F17.JPG,20,10,13,16,RIGHT,basic,basic,10,
11038,Images/F13.JPG,18,10,20,Images/F10.JPG,18,10,9,12,EQUAL,basic,basic,15,
11039,Images/F6.JPG,14,8,12,Images/D14.JPG,16,8,14,16,RIGHT,basic,basic,7,
11040,Images/F10.JPG,18,10,12,Images/D16.JPG,16,8,11,12,LEFT,basic,basic,9,
11044,Images/D1.JPG,14,4,12,Images/D14.JPG,16,8,14,16,RIGHT,basic,basic,12,
12001,Images/D1.F13.JPG,24,10,32,Images/D10.D25.JPG,24,12,23,28,EQUAL,merged,merged,27,
12002,Images/D1.F17.JPG,26,10,28,Images/D10.D25.JPG,24,12,23,28,LEFT,merged,merged,23,
12003,Images/D1.F17.JPG,26,10,28,Images/F13.D21.JPG,30,16,26,36,RIGHT,merged,merged,23,
12004,Images/D14.F10.JPG,26,14,28,Images/F10.F1.JPG,24,14,18,24,LEFT,merged,merged,23,
12005,Images/D14.F10.JPG,26,14,28,Images/F13.D21.JPG,30,16,26,36,RIGHT,merged,merged,23,
12006,Images/F10.F1.JPG,24,14,24,Images/D25.D25.JPG,24,12,20,24,EQUAL,merged,merged,18,
12007,Images/D1.F13.JPG,24,10,12,Images/D25.D25.JPG,24,12,20,24,EQUAL,merged,merged,27,
12008,Images/D21.D25.JPG,26,12,24,Images/D16.F1.JPG,22,12,20,24,LEFT,merged,merged,20,
12009,Images/D21.D25.JPG,26,12,24,Images/F13.D21.JPG,30,16,26,36,RIGHT,merged,merged,20,
12010,Images/D25.D25.JPG,24,12,24,Images/F10.F1.JPG,24,14,18,24,EQUAL,merged,merged,20,
12011,Images/D25.D25.JPG,24,12,24,Images/D1.F13.JPG,24,10,27,12,EQUAL,merged,merged,20,
12012,Images/D25.F13.JPG,26,14,32,Images/F13.D21.JPG,30,16,26,36,RIGHT,merged,merged,25,
12013,Images/F13.D21.JPG,30,16,36,Images/F13.D21.JPG,22,12,20,24,LEFT,merged,merged,26,
12014,Images/F6.F17.JPG,26,14,28,Images/F21.F1.JPG,26,14,20,28,LEFT,merged,merged,18,
12015,Images/F6.F17.JPG,26,14,28,Images/F21.F1.JPG,26,14,20,28,EQUAL,merged,merged,18,
12016,Images/F21.F1.JPG,26,14,28,Images/F6.F17.JPG,26,14,18,28,EQUAL,merged,merged,20,
12017,Images/F10.F1.JPG,24,14,24,Images/D1.F13.JPG,24,10,27,12,EQUAL,merged,merged,18,
12018,Images/F13.D21.JPG,30,16,36,Images/D1.F17.JPG,26,10,23,28,LEFT,merged,merged,26,
12019,Images/F13.D21.JPG,30,16,36,Images/D1.F17.JPG,26,10,23,28,LEFT,merged,merged,26,
12020,Images/F21.F1.JPG,26,14,28,Images/F10.F1.JPG,24,14,18,24,LEFT,merged,merged,20,
12021,Images/F21.F1.JPG,26,14,28,Images/F13.D21.JPG,30,16,26,36,RIGHT,merged,merged,20,
12022,Images/D25.D25.JPG,24,12,24,Images/F21.F1.JPG,26,14,20,28,RIGHT,merged,merged,20,
12023,Images/D14.F10.JPG,26,14,28,Images/F13.D21.JPG,30,16,26,36,RIGHT,merged,merged,23,
12024,Images/F6.F17.JPG,26,14,28,Images/D1.F17.JPG,26,10,23,28,EQUAL,merged,merged,18,
xxx,"these questions are asked by another software, programmed by Ling's tools",,,,,,,,,,,#no,,
901,How challenging was the task?|Not at all|Very much so,,,,,,,,,,,#no,,Our final questions
902,How often do you solve puzzles or play thought-provoking games?|eVery day|once a week|once a month|Not at all,,,,,,,,,,,#no,,Our final questions
903,"<p>In this survey, you compared perimeters of shapes. Please describe three strategies you personally used and also estimate for how many sets you used each one of them. </p><p><b>Please note:</b> Every respondent approaches this task differently and various approaches can be effective. We are interested in your particular approach to this task.   </p>",,,,,,,,,,,#no,,Our final questions - Monika's idea
904,"<p>Three potential strategies to address the task are:</p><p>* <b>Count</b> - Counting the units along the perimeters</p><p>* <b>Recall</b> - Recalling the perimeter length from previous shapes</p><p>* <b>Assess</b> - A Rough estimation which shape has a longer perimeter</p><p>We acknowledge that it is possible that you used more than one strategy, or others. For each strategy among these, please enter the number of sets out of 54 you estimate using it. </p><p>For example: <b>Count - 17; Recall - 2; Assess - 35</b></p>",,,,,,,,,,,#no,,Our final questions - Monika's idea
911,Do you consider yourself well organised?|Not at all|Very much so,,,,,,,,,,,Likert,,Based on ILP Time Management Pulford & Sohal 2006 
912,Do you typically deliver work on time?|Not at all|Very much so,,,,,,,,,,,Likert,,Based on ILP Time Management Pulford & Sohal 2006 
913,Do you use a calendar or a notebook to plan your work?|Not at all|Very much so,,,,,,,,,,,Likert,,Based on ILP Time Management Pulford & Sohal 2006 
921,Thinking is my idea of fun.|Not at all|Very much so,,,,,,,,,,,Likert,,Based on NFC by Cacioppo et al 1996
922,I find satisfaction in deliberating hard and for long time.|Not at all|Very much so,,,,,,,,,,,Likert,,Based on NFC by Cacioppo et al 1996
