x,y
0,0
0,7
0,64
0,115
0,116
0,140
0,144
0,145
0,171
0,172
1,1
1,6
1,8
1,16
1,17
1,57
1,58
1,62
1,63
1,64
1,116
1,117
1,134
1,140
1,141
1,145
1,146
1,173
1,174
2,0
2,1
2,2
2,6
2,18
2,19
2,42
2,43
2,44
2,57
2,59
2,63
2,115
2,134
2,136
2,142
2,146
2,175
3,7
3,8
3,9
3,18
3,42
3,43
3,60
3,134
3,135
3,142
3,193
3,195
3,196
3,197
3,199
4,7
4,9
4,194
4,195
4,196
4,197
4,198
5,8
5,11
5,12
5,13
5,22
5,23
5,89
5,99
5,101
5,131
5,150
5,168
6,12
6,23
6,89
6,100
6,131
6,150
6,169
6,178
7,11
7,22
7,23
7,38
7,39
7,40
7,56
7,57
7,88
7,90
7,97
7,101
7,117
7,131
7,132
7,139
7,150
7,151
7,169
7,170
7,177
7,179
7,189
7,190
8,21
8,23
8,24
8,25
8,38
8,39
8,56
8,57
8,70
8,87
8,97
8,98
8,99
8,102
8,116
8,118
8,119
8,131
8,138
8,139
8,140
8,151
8,171
8,178
8,179
8,189
8,190
8,191
9,23
9,26
9,57
9,61
9,62
9,70
9,71
9,74
9,97
9,117
9,139
9,177
10,11
10,25
10,26
10,63
10,64
10,69
10,70
10,73
10,108
10,116
10,117
10,162
10,176
11,11
11,25
11,27
11,63
11,71
11,72
11,73
11,108
11,110
11,113
11,114
11,115
11,118
11,143
11,163
11,164
11,176
12,11
12,12
12,25
12,26
12,69
12,88
12,98
12,99
12,109
12,110
12,112
12,113
12,143
12,144
12,155
12,163
12,164
12,175
12,176
13,12
13,25
13,26
13,67
13,68
13,69
13,70
13,72
13,74
13,89
13,97
13,98
13,113
13,127
13,128
13,129
13,131
13,142
13,143
13,154
13,155
14,22
14,25
14,64
14,65
14,66
14,67
14,68
14,73
14,74
14,88
14,90
14,98
14,112
14,128
14,129
14,130
14,131
14,132
14,153
14,155
15,8
15,22
15,49
15,64
15,66
15,68
15,69
15,74
15,89
15,131
15,174
16,0
16,1
16,5
16,6
16,7
16,9
16,22
16,23
16,46
16,48
16,65
16,173
16,174
16,182
16,183
17,0
17,2
17,6
17,7
17,8
17,22
17,47
17,74
17,104
17,173
17,174
17,182
17,189
17,190
18,0
18,7
18,20
18,22
18,48
18,49
18,55
18,57
18,72
18,73
18,104
18,106
18,145
18,146
18,181
18,191
18,192
19,8
19,21
19,23
19,43
19,49
19,56
19,73
19,74
19,105
19,106
19,143
19,144
19,145
19,151
19,156
19,164
19,182
19,190
20,20
20,42
20,43
20,48
20,49
20,56
20,71
20,135
20,151
20,152
20,153
20,155
20,156
20,165
20,166
21,40
21,41
21,48
21,57
21,72
21,133
21,134
21,135
21,151
21,156
21,165
22,32
22,64
22,72
22,73
22,133
22,156
22,164
22,166
22,169
23,33
23,46
23,63
23,64
23,72
23,76
23,77
23,78
23,165
23,167
23,168
23,169
23,182
23,183
23,184
24,23
24,34
24,35
24,44
24,45
24,63
24,64
24,77
24,78
24,86
24,166
24,167
24,169
24,182
24,183
25,11
25,12
25,13
25,24
25,25
25,34
25,44
25,45
25,86
25,87
25,95
25,96
25,170
25,178
25,188
26,12
26,23
26,25
26,86
26,88
26,95
26,97
26,124
26,135
26,179
26,181
26,187
27,13
27,94
27,110
27,111
27,122
27,124
27,135
27,136
27,179
27,180
27,187
27,188
28,74
28,75
28,109
28,110
28,121
28,123
28,124
28,135
28,141
28,186
29,43
29,45
29,73
29,74
29,78
29,81
29,110
29,120
29,121
29,122
29,136
29,141
29,142
30,44
30,74
30,79
30,80
30,120
30,137
30,141
30,142
31,44
31,45
31,70
31,79
31,137
31,138
32,69
32,70
32,71
32,138
32,144
32,184
32,185
33,37
33,70
33,73
33,74
33,75
33,100
33,101
33,138
33,143
33,145
33,164
33,165
33,184
34,5
34,6
34,7
34,35
34,36
34,37
34,74
34,75
34,100
34,128
34,129
34,139
34,140
34,145
34,146
34,160
34,165
34,184
34,191
34,192
35,5
35,37
35,44
35,86
35,99
35,100
35,128
35,129
35,138
35,139
35,160
35,165
35,183
35,192
36,5
36,36
36,45
36,53
36,85
36,86
36,95
36,128
36,137
36,147
36,148
36,153
36,160
36,161
36,165
36,191
36,192
37,6
37,35
37,36
37,37
37,38
37,44
37,45
37,54
37,86
37,87
37,93
37,94
37,120
37,121
37,122
37,126
37,146
37,147
37,148
37,153
37,154
37,155
37,159
37,160
37,161
37,162
37,179
38,5
38,6
38,7
38,28
38,45
38,54
38,56
38,61
38,93
38,95
38,103
38,120
38,122
38,125
38,126
38,155
38,160
38,161
38,178
38,179
39,8
39,27
39,28
39,44
39,45
39,46
39,54
39,55
39,56
39,61
39,62
39,73
39,103
39,104
39,117
39,119
39,125
39,126
39,176
39,177
39,179
40,28
40,45
40,46
40,54
40,55
40,56
40,60
40,74
40,75
40,103
40,104
40,118
40,125
40,157
40,174
40,175
40,176
41,24
41,29
41,45
41,46
41,47
41,61
41,74
41,75
41,116
41,117
41,120
41,125
41,141
41,142
41,143
41,156
41,175
42,25
42,26
42,46
42,48
42,75
42,118
42,119
42,126
42,127
42,142
42,143
42,153
42,154
42,155
42,156
43,26
43,27
43,35
43,52
43,73
43,74
43,75
43,92
43,93
43,94
43,117
43,118
43,126
43,152
43,154
43,155
43,156
44,34
44,36
44,37
44,47
44,48
44,49
44,50
44,53
44,75
44,92
44,93
44,143
44,151
44,154
44,156
44,169
45,12
45,37
45,50
45,54
45,55
45,86
45,118
45,119
45,144
45,145
45,146
45,155
45,156
45,169
45,170
45,171
46,11
46,53
46,85
46,87
46,117
46,118
46,119
46,146
46,172
47,9
